User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
132131,flong,Station activity person against natural majority none few size expect six marriage.,85,1,2353,False,1,Adkinston,2020-05-11 15:29:50,
289683,hinesstephanie,Authority research natural life material staff rate common protect attention.,55,5,9617,True,0,Sanderston,2022-11-26 05:18:10,both live
779715,roberttran,Manage whose quickly especially foot none to goal range case.,6,2,4363,True,0,Harrisonfurt,2022-08-08 03:16:54,phone ahead
696168,pmason,Just cover eight opportunity strong policy which.,54,5,2242,True,1,Martinezberg,2021-08-14 22:27:05,ever quickly new I
704441,noah87,Animal sign six data good or.,26,3,8438,False,1,Camachoville,2020-04-13 21:24:21,foreign mention
570928,james00,See wonder travel this suffer less yard office man certainly.,41,4,3792,True,1,West Cheyenne,2023-05-07 22:24:47,anyone respond perhaps market run
734182,leonard00,Door final sound my guess building rich.,54,0,10,True,0,South Donald,2021-01-21 03:02:53,president
107312,lesterdaniel,Job phone price magazine worry stage check view.,64,0,1442,False,1,Smithhaven,2022-06-12 16:45:16,option husband admit
549888,kimberlymorris,Eye rest prove mission show floor.,25,2,836,False,0,Lake Brittanyville,2021-12-19 19:00:16,
117640,schmittjill,Add letter year performance western what culture large development fast.,67,3,6523,False,1,West Hannahborough,2022-07-30 05:39:16,available thing
576805,hicksanthony,Through both practice point fear billion deep.,57,4,8694,False,1,Harrisbury,2020-08-30 10:04:51,
758550,hooperdennis,Wonder accept edge enjoy top organization technology happy.,29,1,5986,True,1,Rossmouth,2021-03-12 23:54:15,treat care eat author
383629,rcruz,Recognize nor choose over trade another involve.,60,2,6779,False,0,Juliehaven,2021-06-13 22:03:42,
850918,dstewart,Them relate question religious require popular.,61,0,6073,True,0,Port Jessicaborough,2023-05-13 20:43:12,upon all direction fly
675134,tracibell,Reality foreign land front PM trip him.,21,2,4846,False,0,Susanville,2020-11-16 23:10:39,course difficult fine
607798,juliesmith,Would mention respond because when break miss reflect name result garden dog.,78,1,2342,False,0,Griffithfort,2020-12-20 01:53:37,today question
946597,thomasbenjamin,Approach result civil age including author.,64,5,6947,False,1,Port Mia,2022-04-16 20:10:18,about tough interesting
212211,matthewbell,Word whose smile consider certainly magazine seat sign money age data.,43,4,7945,False,0,Charlesburgh,2022-12-02 16:48:04,every author
595841,frobinson,Range sell may science successful involve amount pressure.,39,0,8305,True,1,West Donnaview,2021-01-04 17:11:14,cost form foot year
295469,urobinson,Although assume remember local book perhaps.,8,2,1256,False,0,Maureenfort,2022-12-16 18:14:41,control health do fact
463487,hernandezchristian,Part admit the choice across some data edge again future exactly clearly bring.,26,4,653,True,1,Lake Jose,2020-04-20 11:42:06,
343343,justindudley,Road politics item effect education will open others race personal car treat question.,84,4,5466,False,0,Lake Marvinshire,2020-02-28 22:31:34,
631945,owright,Matter local us blue series produce consumer out long.,86,1,5131,True,1,Lake Nancyborough,2021-07-29 10:33:57,tough particularly their
926923,tbecker,Character agreement mention arrive where teach parent husband development trip peace sense.,55,0,5278,False,1,Lindamouth,2020-08-04 01:19:47,plant account
127337,nthompson,Capital can wind something must nearly.,56,1,3347,True,1,Port Morganshire,2020-08-04 23:36:10,wonder purpose
580954,monique95,For two pattern beat president able suffer later field specific table.,43,2,4851,False,0,East Erin,2020-06-15 00:29:43,account position foot
432390,berryemily,Strategy should green improve bar require hope Mr fall.,49,5,7600,False,1,Bakerberg,2021-07-04 03:50:07,
131479,thomas43,Husband discover he continue security fish stand pass quickly.,7,0,706,False,1,North Heidihaven,2020-09-08 21:46:14,
811404,bryan62,Paper black food reach model science ready.,75,1,7313,True,1,Port Jennifer,2020-05-22 02:10:18,able have that especially
138974,owensbenjamin,Race sometimes argue him difference fall.,39,0,337,False,1,Franciscoton,2021-07-11 02:30:21,effort situation others different sort
267991,jwu,Man me seat group thought read lead thank hundred.,77,1,7006,False,0,North Josephville,2020-01-07 05:29:42,small knowledge
688953,craigmiller,Far forget sport nation admit myself series right this minute.,40,2,697,True,0,Port Melanie,2021-10-17 00:06:59,mission owner know budget reason
391036,amysmith,Network see record second management thank management.,25,5,4517,True,0,Russellville,2022-04-16 02:57:56,difficult significant at take difficult
194223,jacobscarla,Treatment wrong pattern serious ask order since.,15,2,1785,True,0,South Heather,2020-03-22 00:35:22,sense
238448,xzimmerman,International station specific indeed laugh trial spring later store federal sing gun.,85,0,4057,True,1,West Peterview,2022-05-02 16:57:25,sell officer rate board front
381356,xbaker,Message mission rate power visit nothing author determine need lose defense partner.,13,0,7925,False,0,Rochaville,2021-02-24 12:48:06,before enter cover gun
387922,karenlopez,In change eat true miss interest vote cause attack.,63,4,2804,True,1,North Jasonfurt,2020-11-19 07:54:29,series instead behind
150095,hannahross,Natural draw letter also near true so.,75,4,3544,True,1,Brianmouth,2020-09-09 03:29:52,response learn design energy
344916,dschultz,System wait coach return through blue security future hit fall.,58,1,2063,False,0,Jacobsstad,2021-02-02 02:01:06,
558415,jessica19,Nice federal education key partner machine whose leader type consumer protect.,34,5,466,False,0,Rodriguezstad,2022-01-04 06:09:53,sell begin
725104,julieflynn,Early source play computer simple fire day way reveal traditional pay.,66,1,2852,False,1,Schultzborough,2021-07-22 11:15:27,former impact above
814899,garciavickie,Medical now even gun under find moment science.,18,0,3782,True,0,Kingfort,2021-04-04 02:37:17,most model
187298,shepherdmichael,Stock concern here wind over course soon view part need.,0,3,4581,False,0,Port Laurenfurt,2023-05-15 08:49:57,mind
763755,eric75,Sing star rather test data improve.,21,3,6979,False,0,New Mary,2021-10-02 07:21:33,sometimes live
593693,kgarcia,Natural carry that compare energy establish.,7,3,7523,True,0,Mitchellmouth,2022-02-08 11:17:57,nature
388689,cgilbert,Report be cold box different itself camera new note hard accept bad.,39,0,3755,False,0,Hartfurt,2021-11-05 12:31:02,green
233166,bettymorton,Town when may class kitchen those.,34,4,6933,False,0,Tannermouth,2022-06-02 14:01:49,story teacher late
460341,oharvey,Though religious game although who source dream.,72,0,8386,False,1,Port Brentshire,2021-11-17 04:13:48,
180001,miranda16,Policy arrive again room source thing.,24,5,4096,False,1,Nguyenside,2022-08-12 18:01:20,land discover
635556,wheelerlarry,Lawyer his middle section last site training play.,77,0,7967,False,1,North Jamieshire,2022-06-06 23:18:37,find determine budget sure
522978,lukewiley,Reality behavior hair relate might will onto against development positive appear second.,87,5,5785,True,0,East Leslieport,2020-03-03 12:27:50,parent old medical
200604,reginaldsmith,Great brother daughter subject population already.,44,1,7504,True,0,West Crystal,2021-10-01 22:42:40,treatment
105383,michaelpetty,At ok tend political population hot that natural box discover perhaps.,46,4,7074,False,0,East Carol,2020-02-19 15:56:20,as center
744296,mhernandez,Pretty country many foreign market west science answer both process.,44,4,1910,False,1,West Heatherport,2023-02-07 01:46:43,on machine land
332454,zimmermanashley,Try than seat paper doctor law employee take material almost want his indeed.,10,4,415,True,0,Ambermouth,2020-11-24 00:59:40,just drug
281416,natalierichards,Within new whether research family effect.,23,4,6001,True,0,Lake Jill,2020-03-07 10:07:48,
552441,reginald50,Six town until discuss floor course.,28,3,1723,False,1,Smallborough,2021-01-26 14:57:11,eye entire high hundred
950576,garciacynthia,Same current political anyone network such face.,43,1,2461,False,0,North Donaldfurt,2022-12-09 02:17:39,truth
608641,traceymiller,Soldier poor source provide sea weight where mention key house class example number.,3,1,5049,True,1,North Davidberg,2022-03-07 21:38:17,idea size
